"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"richness_2100",0.0446607804653182,0.458075965626943,0.0015655176918756,0.0429098767840069,0.0446607804653182,0.0350535229246904,0.960795497457305,0.00415097961800426,0.902503550029756,5
"temp_2100",0.117727744231767,0.658015792378916,0.00588747178858053,0.116794545450297,0.122682017238878,0.0479896884733878,0.952010311526612,0,0.82108674959586,5
"cover_2050",0.00869032198713986,0.564120023101823,0.00332802796450201,0.00631677195930493,0.00964479992380694,0.345059305614749,0.654940694385251,1.11022302462516e-16,0.984594905992955,6
"richness_2050",0.0214528072450958,0.561508012837996,0.00157387131126654,0.021370764793339,0.0229446361046055,0.0685943025677636,0.931405697432236,0,0.961794299004447,6
"temp_2050",0.0485384493095306,0.810412571127702,0.00341212836427686,0.0488782758092365,0.0522904041735134,0.0652534325983504,0.93474656740165,0,0.940106495088065,6
"cover_2100",0.0246180524552324,0.410852636885122,0.00912068355090288,0.00906360792482041,0.0246180524552324,0.370487615439471,0.368169169405356,0.261343215155173,0.940080578180356,6
"richness_2100",0.0447975437276672,0.451173861698498,0.000947962014922308,0.0430298958972125,0.0447975437276672,0.0211610266108595,0.960541411797028,0.0182975615921127,0.900708911728571,6
"temp_2100",0.11692923749247,0.671174312106637,0.006586838647762,0.11488316936129,0.121470008009052,0.0542260493410946,0.945773950658905,-1.11022302462516e-16,0.82578409902867,6
"cover_2050",0.02784862437988,0.477405060755957,0.0240180995419841,0.00876246687174074,0.0327805664137248,0.732693243882693,0.267306756117307,5.55111512312578e-17,0.941666675389275,7
"richness_2050",0.0233730241522569,0.559213832376235,0.00544940057204659,0.0221948770674402,0.0276442776394868,0.197125808209317,0.802874191790683,0,0.958203780380504,7
"temp_2050",0.0504526068968292,0.80784714330578,0.00232791474174843,0.0508930568510352,0.0532209715927836,0.0437405532458201,0.95625944675418,1.11022302462516e-16,0.937546839999492,7
"cover_2100",0.0201989284900647,0.390221819412413,0.00896598432711874,0.0070128112104836,0.0201989284900647,0.443884156109016,0.347187288371906,0.208928555519077,0.948237316610128,7
"richness_2100",0.0434279349284477,0.457347378972989,0.000686445242933681,0.0409054387862166,0.0434279349284477,0.01580653660057,0.941915355948028,0.0422781074514017,0.905043874907584,7
"temp_2100",0.114838730036319,0.661342011968259,0.00588092065136866,0.113301154796752,0.11918207544812,0.0493440026887987,0.950655997311201,0,0.826355005491726,7
"cover_2050",0.0122354958968614,0.564038483961669,0.00721826705209934,0.00643168110834714,0.0136499481604465,0.528812781356617,0.471187218643383,-5.55111512312578e-17,0.978307338515411,8
"richness_2050",0.0222877671948919,0.569295167846704,0.00230088585860136,0.0218355290085922,0.0241364148671936,0.0953284019711124,0.904671598028888,0,0.960850243505152,8
"temp_2050",0.0491203171242647,0.813013435705785,0.00363874947742065,0.0495162989549217,0.0531550484323423,0.0684553882412915,0.931544611758709,0,0.939582404217437,8
"cover_2100",0.0207843492506552,0.353664818189808,0.00894059044293652,0.0076580798479245,0.0207843492506552,0.430159748333457,0.368454155363228,0.201386096303315,0.9412315045725,8
"richness_2100",0.0438783694304609,0.452512470975947,0.00118006998495918,0.0415234556277107,0.0438783694304609,0.0268941166291371,0.946330872516074,0.0267750108547892,0.903033900179973,8
"temp_2100",0.118936929375111,0.664884558374329,0.00668823497207224,0.117103009931493,0.123791244903565,0.0540283359884008,0.945971664011599,0,0.821116421073281,8
"cover_2050",0.00986002733547408,0.563894735226579,0.0046061399545083,0.00648623404763986,0.0110923740021482,0.415252853322135,0.584747146677865,0,0.98251441852616,9
"richness_2050",0.0214287510136261,0.5649132385142,0.00175365697375599,0.0212641789569819,0.0230178359307378,0.0761868743453058,0.923813125654694,0,0.96206718208625,9
"temp_2050",0.0491336300751909,0.81455845017361,0.00334751069532438,0.0495438995501303,0.0528914102454547,0.0632902522316856,0.936709747768314,0,0.939680657582376,9
"cover_2100",0.0233155182381996,0.39312597551622,0.00963209849569758,0.00805845381834179,0.0233155182381996,0.413119639773505,0.34562619350828,0.241254166718215,0.940691992668295,9
"richness_2100",0.0439209689623614,0.456201914614088,0.000897803767472064,0.0415401692521599,0.0439209689623614,0.0204413470076548,0.945793552226916,0.033765100765429,0.90372471584317,9
"temp_2100",0.118451984647507,0.663683039870356,0.00672053554256384,0.117114207311479,0.123834742854043,0.0542701941932802,0.94572980580672,0,0.8215232610575,9
"cover_2050",0.0113464643435813,0.557142689211755,0.00597160067258749,0.00722781348342203,0.0131994141560095,0.452414069443279,0.547585930556721,0,0.979634545039738,10
"richness_2050",0.0224868168915774,0.562464222359801,0.00254915780783451,0.0222188468113574,0.024768004619192,0.102921403925258,0.897078596074742,-1.11022302462516e-16,0.960020893778391,10
"temp_2050",0.0491704489511436,0.820653055859558,0.00378291021087296,0.0493045505896912,0.0530874608005641,0.0712580740127009,0.928741925987299,0,0.940083755735678,10
"cover_2100",0.0143212962990344,0.3625419310282,0.00119404260357168,0.0121741169615879,0.0143212962990344,0.0833753159378589,0.850070880972467,0.0665538030896744,0.960497545046947,10
"richness_2100",0.04627342144568,0.44863418221176,0.00324123548130625,0.0450430365194681,0.0482842720007743,0.0671281837127889,0.932871816287211,-1.11022302462516e-16,0.896857120388035,10
"temp_2100",0.118592006904598,0.661559075824726,0.00606611597461975,0.116974470435474,0.123040586410094,0.049301747915939,0.950698252084061,0,0.820738598806528,10
