"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"richness_2100",0.0489526617843023,0.502262434203534,0.0021716051886163,0.0483610401202806,0.050532645308897,0.0429743025591016,0.957025697440898,0,0.902535689610294,5
"temp_2100",0.116231083023781,0.631000947739098,0.00714583057190373,0.11595741559425,0.123103246166153,0.0580474584907286,0.941952541509271,0,0.815798877259627,5
"cover_2050",0.00869032198713986,0.564120023101823,0.00332802796450201,0.00631677195930493,0.00964479992380694,0.345059305614749,0.654940694385251,1.11022302462516e-16,0.984594905992955,6
"richness_2050",0.0255713777811632,0.649163446465138,0.00212215058672125,0.0255095674315917,0.027631718018313,0.0768012537372736,0.923198746262726,0,0.960608722009217,6
"temp_2050",0.0494154414544216,0.782605606877099,0.00369209081913377,0.0496438122475836,0.0533359030667174,0.0692233675037877,0.930776632496212,0,0.936857797822829,6
"cover_2100",0.0246180524552324,0.410852636885122,0.00912068355090288,0.00906360792482041,0.0246180524552324,0.370487615439471,0.368169169405356,0.261343215155173,0.940080578180356,6
"richness_2100",0.0475204192597346,0.499652528591434,0.000983147548499411,0.046775843364038,0.0477589909125374,0.0205856013645657,0.979414398635434,-1.11022302462516e-16,0.904893067601001,6
"temp_2100",0.11612951681683,0.642555646870338,0.00795531124640789,0.11472529314578,0.122680604392188,0.0648457128640821,0.935154287135918,0,0.819269323392526,6
"cover_2050",0.02784862437988,0.477405060755957,0.0240180995419841,0.00876246687174074,0.0327805664137248,0.732693243882693,0.267306756117307,5.55111512312578e-17,0.941666675389275,7
"richness_2050",0.0288540384072312,0.639196677760214,0.00722563827589177,0.0274746771498943,0.0347003154257861,0.208229757776851,0.791770242223149,-1.11022302462516e-16,0.954858904291653,7
"temp_2050",0.0511142630929526,0.779115936869351,0.00260095737253447,0.0515686133923949,0.0541695707649293,0.0480151002824337,0.951984899717566,-1.11022302462516e-16,0.934394535300689,7
"cover_2100",0.0201989284900647,0.390221819412413,0.00896598432711874,0.0070128112104836,0.0201989284900647,0.443884156109016,0.347187288371906,0.208928555519077,0.948237316610128,7
"richness_2100",0.0465729621900006,0.508145226454924,0.00106342491735934,0.0452524042976922,0.0465729621900006,0.0228335254481122,0.971645396165247,0.00552107838664062,0.908347142184299,7
"temp_2100",0.115006681652783,0.635064294552239,0.00733105328073689,0.11424817656977,0.121579229850507,0.0602985665376487,0.939701433462351,0,0.818905451559248,7
"cover_2050",0.0122354958968614,0.564038483961669,0.00721826705209934,0.00643168110834714,0.0136499481604465,0.528812781356617,0.471187218643383,-5.55111512312578e-17,0.978307338515411,8
"richness_2050",0.0265098488489054,0.654279891787934,0.00291640475511069,0.0261140863797952,0.0290304911349059,0.100460055655209,0.899539944344791,0,0.959482403201384,8
"temp_2050",0.0500703320442343,0.784051847347913,0.00379332862572806,0.0503940703460381,0.0541873989717661,0.0700038883155203,0.92999611168448,1.11022302462516e-16,0.936139003799814,8
"cover_2100",0.0207843492506552,0.353664818189808,0.00894059044293652,0.0076580798479245,0.0207843492506552,0.430159748333457,0.368454155363228,0.201386096303315,0.9412315045725,8
"richness_2100",0.0476774590365594,0.49675619878343,0.00130940577903322,0.0468073390019366,0.0481167447809698,0.0272130998261355,0.972786900173865,-1.11022302462516e-16,0.904022417529318,8
