"pred_decade","name","pred_gcm","pred_wind","delta_change_min","delta_change_q5","delta_change_q25","delta_change_median","delta_change_q75","delta_change_q95","delta_change_max","rel_change_min","rel_change_q5","rel_change_q25","rel_change_median","rel_change_q75","rel_change_q95","rel_change_max"
2050,"lost","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2050,"richness","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",-1.13962955165389,-1.13463537027485,-1.09610730786404,-1.00070216758089,-0.977268625949464,-0.682990366307083,-0.614365400142987,-3.74269882514104,-3.72629725258377,-3.59976584269654,-3.28644235443497,-3.20948340877974,-2.24303348210867,-2.0176597368728
2100,"eivTemp","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",0.280201776009553,0.28087085290978,0.284630046345586,0.285738307316673,0.287605212988306,0.291519834123119,0.292870632135173,7.52713512488185,7.54510871630111,7.64609293329947,7.67586444367963,7.72601562921425,7.83117514199141,7.86746198966224
2100,"lost","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",-5,-5,-4,-4,-4,-3.45,-3,-2.8735632183908,-2.8735632183908,-2.29885057471264,-2.29885057471264,-2.29885057471264,-1.98275862068966,-1.72413793103448
2100,"richness","ICHEC-EC-EARTH_rcp45_r12i1p1_KNMI-RACMO22E","15",-1.48001772192309,-1.45489741643974,-1.32361047166691,-1.14598781212914,-1.08648518276021,-1.03347569482201,-1.02560077550769,-4.86057998495264,-4.77808147683371,-4.34691725048969,-3.76358021942931,-3.56816547197152,-3.39407508624951,-3.36821277755188
2050,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",0.234321318471233,0.234679152672448,0.237366198683796,0.239327792753138,0.240136201526769,0.243681375771459,0.246151983974014,6.29463614360999,6.30424873930158,6.3764315737655,6.4291263990103,6.45084289974743,6.54607786207018,6.61244646988597
2050,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-4,-4,-4,-3,-3,-2.45,-2,-2.29885057471264,-2.29885057471264,-2.29885057471264,-1.72413793103448,-1.72413793103448,-1.40804597701149,-1.14942528735632
2050,"richness","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-0.613876080724989,-0.605982942070584,-0.581258834933964,-0.543238831833738,-0.460137240793763,-0.147069404696073,-0.142337581813489,-2.01605274519011,-1.99013060169564,-1.90893326296517,-1.78407038912291,-1.51115343404633,-0.482995976518302,-0.467456025033435
2100,"eivTemp","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",0.574036720708493,0.574655276596201,0.576982929222406,0.578502318349663,0.582493906544061,0.584503996999547,0.585390603092123,15.4205017004231,15.4371181323936,15.4996464863917,15.5404622422053,15.6476893416548,15.7016869382695,15.7255040744647
2100,"lost","ICHEC-EC-EARTH_rcp85_r12i1p1_KNMI-RACMO22E","0",-13,-13,-13,-13,-13,-12.45,-12,-7.47126436781609,-7.47126436781609,-7.47126436781609,-7.47126436781609,-7.47126436781609,-7.1551724137931,-6.89655172413793
